#System,Teff-K(1),Teff-K(2),Teff-K(3),FeH-dex(1),FeH-dex(2),FeH-dex(3),M1-Msun(1),M1-Msun(2),M1-Msun(3),R1-Rsun(1),R1-Rsun(2),R1-Rsun(3),logg1-cgs(1),logg1-cgs(2),logg1-cgs(3),rho1-rhosun(1),rho1-rhosun(2),rho1-rhosun(3),Porb,eccentricity(1),eccentricity(2),eccentricity(3),sep-AU(1),sep-AU(2),sep-AU(3),M2-Mjup(1),M2-Mjup(2),M2-Mjup(3),R2-Rjup(1),R2-Rjup(2),R2-Rjup(3),g2-ms2(1),g2-ms2(2),g2-ms2(3),rho2-rhoJup(1),rho2-rhoJup(2),rho2-rhoJup(3),Teq-K(1),Teq-K(2),Teq-K(3),Discovery-ref,Recent-ref
OGLE-TR-182,5924,64,64,0.37,0.08,0.08,1.187,0.044,0.044,1.53,0.17,0.17,4.142,0.089,0.089,0.33,0.1,0.1,3.979,0,-1,-1,0.05205,0.00065,0.00065,1.06,0.15,0.15,1.47,0.14,0.14,12.1,2.9,2.9,0.33,0.11,0.11,1550,81,81,2008A+A...487..749P,2010MNRAS.408.1689S
OGLE-TR-211,6325,91,91,0.11,0.1,0.1,1.312,0.061,0.058,1.56,0.179,0.1,4.169,0.052,0.085,0.345,0.068,0.09,3.677,0,-1,-1,0.05105,0.00079,0.00076,0.75,0.15,0.15,1.262,0.158,0.091,11.6,2.9,3.3,0.37,0.12,0.13,1686,90,55,2008A+A...482..299U,2010MNRAS.408.1689S
OGLE-TR-L9,6933,58,58,-0.05,0.2,0.2,1.427,0.102,0.102,1.499,0.043,0.043,4.241,0.016,0.016,0.424,0.018,0.018,2.486,0,-1,-1,0.04047,0.00096,0.00096,4.4,1.5,1.5,1.633,0.046,0.046,40,13,13,0.94,0.32,0.32,2034,22,22,2009A+A...497..545S,2012MNRAS.426.1291S
POTS-1,4400,200,200,-0.03,0.15,0.15,0.695,0.05,0.05,0.588,0.02,0.028,4.63,0.05,0.05,3.417,0.41,0.261,3.161,0,-1,-1,0.03734,0.0009,0.0009,2.31,0.77,0.77,0.941,0.036,0.047,-1,-1,-1,-1,-1,-1,-1,-1,-1,2013MNRAS.435.3133K,2013MNRAS.435.3133K
Qatar-1,4910,100,100,0.2,0.1,0.1,0.838,0.043,0.041,0.803,0.016,0.016,4.552,0.012,0.011,1.62,0.052,0.05,1.42,0,0.031,0,0.02332,0.0004,0.00038,1.294,0.052,0.049,1.143,0.026,0.025,24.55,0.86,0.83,0.811,0.043,0.04,1418,28,27,2011MNRAS.417..709A,2017AJ....153...78C
Qatar-2,4645,50,50,-0.02,0.08,0.08,0.727,0.024,0.024,0.7033,0.008,0.008,4.53,0.005,0.005,2.09,0.015,0.015,1.337,0,-1,-1,0.02136,0.00024,0.00024,2.466,0.062,0.062,1.115,0.013,0.013,39.34,0.52,0.52,1.776,0.034,0.034,1285,16,16,2012ApJ...750...84B,2017MNRAS.471..394M
Qatar-3,6009,52,52,-0.04,0.08,0.08,1.145,0.064,0.064,1.272,0.14,0.14,4.286,0.079,0.079,0.55,0.14,0.14,2.508,0,-1,-1,0.03783,0.00069,0.00069,4.31,0.47,0.47,1.096,0.14,0.14,87,23,18,3,0.9,0.9,1681,84,84,2017AJ....153..200A,2017AJ....153..200A
Qatar-4,5218,50,50,0.1,0.08,0.08,0.896,0.048,0.048,0.849,0.063,0.063,4.533,0.058,0.058,1.467,0.027,0.027,1.805,0,-1,-1,0.02803,0.00048,0.00048,6.1,0.54,0.54,1.135,0.11,0.11,117,23,19,3.8,0.8,0.8,1385,48,48,2017AJ....153..200A,2017AJ....153..200A
Qatar-5,5746,49,49,0.38,0.08,0.08,1.128,0.056,0.056,1.076,0.051,0.051,4.427,0.035,0.035,0.91,0.11,0.011,2.879,0,-1,-1,0.04127,0.00067,0.00067,4.32,0.18,0.18,1.107,0.064,0.064,87.1,9.3,8.4,2.98,0.44,0.44,1415,31,31,2017AJ....153..200A,2017AJ....153..200A
Qatar-6,5052,66,66,-0.025,0.093,0.093,0.822,0.021,0.021,0.722,0.02,0.02,4.636,0.014,0.014,2.18,0.11,0.11,3.506,0,-1,-1,0.0423,0.0004,0.0004,0.668,0.066,0.06,1.062,0.072,0.072,14.5,2.5,2.1,0.51,0.11,0.11,1006,18,18,2018AJ....155...52A,2018AJ....155...52A
Qatar-7,6387,38,38,0.276,0.071,0.071,1.409,0.026,0.026,1.564,0.021,0.021,4.196,0.029,0.029,0.369,0.011,0.011,2.032,0,-1,-1,0.0352,0.0002,0.0002,1.88,0.25,0.25,1.7,0.03,0.03,16.7,2.7,2.4,0.378,0.054,0.054,2053,15,15,arXiv:1812.05601,arXiv:1812.05601
Qatar-8,5738,51,51,0.025,0.071,0.071,1.029,0.051,0.051,1.315,0.02,0.02,4.214,0.016,0.016,0.454,0.017,0.017,3.715,0,-1,-1,0.0474,0.0008,0.0008,0.371,0.062,0.062,1.285,0.022,0.022,5.6,1.1,0.9,0.163,0.028,0.028,1457,14,14,2019AJ....157..224A,2019AJ....157..224A
Qatar-9,4309,31,31,0.252,0.076,0.076,0.719,0.024,0.024,0.696,0.008,0.008,4.61,0.01,0.01,2.137,0.061,0.061,1.541,0,-1,-1,0.0234,0.0003,0.0003,1.19,0.16,0.16,1.009,0.014,0.014,28.8,4.5,3.9,1.08,0.15,0.15,1134,9,9,2019AJ....157..224A,2019AJ....157..224A
Qatar-10,6124,46,46,0.016,0.089,0.089,1.156,0.068,0.068,1.254,0.026,0.026,4.303,0.027,0.027,0.583,0.044,0.044,1.645,0,-1,-1,0.0286,0.0006,0.0006,0.736,0.09,0.09,1.543,0.04,0.04,7.7,1.1,1,0.187,0.027,0.027,1955,25,25,2019AJ....157..224A,2019AJ....157..224A
TIC_237913194,5788,80,80,0.14,0.05,0.05,1.026,0.057,0.055,1.088,0.012,0.012,4.376,0.021,0.021,0.79,0.08,0.08,15.169,0.575,0.011,0.011,0.1207,0.0037,0.0037,1.942,0.092,0.091,1.117,0.054,0.047,-1,-1,-1,1.39,0.21,0.2,974,-1,-1,arXiv:2010.03570,arXiv:2010.03570
TIC_257060897,6128,57,57,0.2,0.04,0.04,1.32,0.04,0.04,1.82,0.05,0.05,4.2,0.1,0.1,0.22,0.01,0.01,3.66,0.03,0.02,0.02,0.051,0.002,0.002,0.67,0.03,0.03,1.49,0.04,0.04,7.41,0.53,0.49,0.19,0.02,0.02,1762,21,21,arXiv:2110.00489,arXiv:2110.00489
TOI-122,3403,100,100,-1,-1,-1,0.312,0.007,0.007,0.334,0.01,0.01,4.88,0.05,0.05,9.1,6.7,3,5.078,0,-1,-1,0.0392,0.0007,0.0007,0,6.7,0,0.243,0.016,0.016,-1,-1,-1,-1,-1,-1,471,-1,-1,arXiv:2010.15905,arXiv:2010.15905
