#System,Teff-K(1),Teff-K(2),Teff-K(3),FeH-dex(1),FeH-dex(2),FeH-dex(3),M1-Msun(1),M1-Msun(2),M1-Msun(3),R1-Rsun(1),R1-Rsun(2),R1-Rsun(3),logg1-cgs(1),logg1-cgs(2),logg1-cgs(3),rho1-rhosun(1),rho1-rhosun(2),rho1-rhosun(3),Porb,eccentricity(1),eccentricity(2),eccentricity(3),sep-AU(1),sep-AU(2),sep-AU(3),M2-Mjup(1),M2-Mjup(2),M2-Mjup(3),R2-Rjup(1),R2-Rjup(2),R2-Rjup(3),g2-ms2(1),g2-ms2(2),g2-ms2(3),rho2-rhoJup(1),rho2-rhoJup(2),rho2-rhoJup(3),Teq-K(1),Teq-K(2),Teq-K(3),Discovery-ref,Recent-ref
HD_191939b,5427,50,50,-0.16,0.08,0.08,0.92,0.06,0.06,0.945,0.021,0.021,4.4,0.1,0.1,1.16,0.62,0.28,8.88,0,-1,-1,0.089,0.01,0.012,0.0327,0.0028,0.0028,0.301,0.012,0.012,-1,-1,-1,1.1,0.2,0.2,778,58,41,arXiv:2002.03958,arXiv:2108.02208
HD_191939c,5427,50,50,-0.16,0.08,0.08,0.92,0.06,0.06,0.945,0.021,0.021,4.4,0.1,0.1,1.16,0.62,0.28,28.581,0,-1,-1,0.178,0.033,0.026,0.0226,0.0044,0.0044,0.287,0.013,0.012,-1,-1,-1,1.1,0.2,0.2,550,45,45,arXiv:2002.03958,arXiv:2108.02208
HD_191939d,5427,50,50,-0.16,0.08,0.08,0.92,0.06,0.06,0.945,0.021,0.021,4.4,0.1,0.1,1.16,0.62,0.28,38.356,0,-1,-1,0.216,0.011,0.011,0,0.0182,0,0.282,0.01,0.01,-1,-1,-1,0.4,0.2,0.2,499,12,11,arXiv:2002.03958,arXiv:2108.02208
HD_202772,6330,100,100,0.29,0.06,0.06,1.703,0.075,0.12,2.614,0.08,0.11,3.835,0.034,0.034,0.095,0.012,0.01,3.309,0.047,0.05,0.033,0.0519,0.00075,0.0012,1.008,0.074,0.079,1.562,0.053,0.069,10.28,1.02,0.88,0.249,0.035,0.027,2132,37,33,arXiv:1810.02341,arXiv:1810.02341
HD_207897,5070,60,57,-0.21,0.02,0.02,0.8,0.036,0.03,0.779,0.019,0.018,4.559,0.026,0.052,1.69,0.13,0.13,16.202,0.047,0.057,0.033,0.1163,0.0017,0.0015,0.0453,0.005,0.005,0.2231,0.0073,0.007,22.5,2.9,2.7,3.81,0.58,0.52,632,8,7,arXiv:2110.08597,arXiv:2110.08597
HD_209458,6117,50,50,0.02,0.05,0.05,1.148,0.04,0.04,1.162,0.014,0.014,4.368,0.006,0.006,0.733,0.008,0.008,3.525,0,-1,-1,0.04747,0.00055,0.00055,0.714,0.017,0.017,1.38,0.017,0.017,9.3,0.08,0.08,0.272,0.004,0.004,1459,12,12,2000ApJ...529L..41H,2010MNRAS.408.1689S
HD_213885,5978,50,50,-0.04,0.03,0.03,1.068,0.02,0.018,1.1101,0.008,0.0075,4.3827,0.0095,0.0097,0.799,0.023,0.023,1.008,0,0.16,0,0.0568,0.00044,0.00032,0.0278,0.0021,0.002,0.1557,0.0045,0.0046,28.5,2.8,2.7,6.9,0.8,0.8,1265,7,8,arXiv:1903.07694,arXiv:1903.07694
HD_219134b,4699,16,16,0.11,0.04,0.04,0.81,0.03,0.03,0.778,0.005,0.005,4.567,0.018,0.018,1.719,0.073,0.073,3.093,0,0.14,0,0.03876,0.00047,0.00047,0.0149,0.0006,0.0006,0.1429,0.0049,0.0049,-1,-1,-1,4.76,0.54,0.54,1015,8,8,2015A+A...584A..72M,2017NatAs...1E..56G
HD_219134c,4699,16,16,0.11,0.04,0.04,0.81,0.03,0.03,0.778,0.005,0.005,4.567,0.018,0.018,1.719,0.073,0.073,6.765,0.062,0.039,0.039,0.0653,0.0008,0.0008,0.0137,0.0007,0.0007,0.1348,0.0042,0.0042,-1,-1,-1,5.22,0.58,0.58,782,6,6,2017NatAs...1E..56G,2017NatAs...1E..56G
HD_219666,5527,65,65,0.04,0.04,0.04,0.92,0.03,0.03,1.03,0.03,0.03,4.4,0.11,0.11,-1,-1,-1,6.036,0,-1,-1,0.0636,0.0027,0.0027,0.0522,0.0041,0.0041,0.42,0.015,0.015,-1,-1,-1,0.656,0.09,0.083,1073,20,20,arXiv:1812.05881,arXiv:1812.05881
HD_221416,5080,90,90,-0.08,0.08,0.08,1.212,0.074,0.074,2.943,0.064,0.064,3.584,0.01,0.01,0.0475,0.0005,0.0005,14.276,0.113,0.034,0.03,0.1223,0.0025,0.0026,0.2,0.018,0.018,0.835,0.031,0.028,-1,-1,-1,0.343,0.048,0.045,-1,-1,-1,arXiv:1901.01643,arXiv:1901.01643
HD_271181,6495,90,90,0.22,0.04,0.04,1.435,0.029,0.028,1.648,0.023,0.025,4.33,0.25,0.26,0.32,0.013,0.014,4.231,0,0.091,0,0.058,0.0014,0.0014,1.22,0.12,0.12,1.489,0.034,0.034,14.2,1.5,1.5,0.37,0.04,0.04,1669,16,14,arXiv:1906.09866,arXiv:1906.09866
HD_332231,6089,97,96,0.036,0.059,0.058,1.127,0.077,0.077,1.277,0.039,0.036,4.279,0.027,0.034,0.548,0.043,0.051,18.721,0.032,0.03,0.022,0.1436,0.0032,0.0033,0.244,0.021,0.021,0.867,0.027,0.025,8.04,0.78,0.77,0.35,0.041,0.039,876,17,17,arXiv:2003.10451,arXiv:2003.10451
HIP_00065,4590,49,49,0.18,0.08,0.08,0.781,0.027,0.027,0.7242,0.0081,0.0091,4.611,0.011,0.01,2.054,0.06,0.052,0.981,0,0.02,0,0.01782,0.0002,0.00021,3.213,0.078,0.078,2.03,0.61,0.49,20,11,8,0.36,0.46,0.2,1411,15,15,arXiv:2003.05932,arXiv:2003.05932
HIP_67522,5675,75,75,-1,-1,-1,1.22,0.05,0.05,1.38,0.06,0.06,-1,-1,-1,0.448,0.055,0.049,6.96,0.059,0.193,0.046,-1,-1,-1,-1,-1,-1,0.898,0.042,0.042,-1,-1,-1,-1,-1,-1,1174,21,20,arXiv:2005.00013,arXiv:2005.00013
HIP_97166,5198,100,100,0.27,0.09,0.09,0.898,0.054,0.054,0.836,0.036,0.036,4.41,0.1,0.1,1.53,0.22,0.22,10.289,0.16,0.03,0.03,0.089,0.001,0.001,0.0629,0.0047,0.0047,0.244,0.012,0.012,-1,-1,-1,4,0.7,0.7,642,22,22,arXiv:2110.05628,arXiv:2110.05628
HR_858b,6201,50,50,-0.14,0.08,0.08,1.145,0.074,0.08,1.31,0.024,0.022,4.262,0.032,0.036,0.508,0.045,0.045,3.586,0,0.3,0,0.048,0.001,0.0011,-1,-1,-1,0.186,0.0061,0.0057,-1,-1,-1,-1,-1,-1,1572,22,19,arXiv:1905.05193,arXiv:1905.05193
HR_858c,6201,50,50,-0.14,0.08,0.08,1.145,0.074,0.08,1.31,0.024,0.022,4.262,0.032,0.036,0.508,0.045,0.045,5.973,0,0.19,0,0.0674,0.0014,0.0016,-1,-1,-1,0.173,0.0062,0.0062,-1,-1,-1,-1,-1,-1,1326,18,16,arXiv:1905.05193,arXiv:1905.05193
HR_858d,6201,50,50,-0.14,0.08,0.08,1.145,0.074,0.08,1.31,0.024,0.022,4.262,0.032,0.036,0.508,0.045,0.045,11.23,0,0.28,0,0.1027,0.0022,0.0025,-1,-1,-1,0.1931,0.0077,0.0074,-1,-1,-1,-1,-1,-1,1075,15,13,arXiv:1905.05193,arXiv:1905.05193
K2-002,5089,50,50,-0.16,0.08,0.08,0.775,0.027,0.027,0.716,0.024,0.024,4.59,0.026,0.026,2.11,0.23,0.23,9.121,0.205,0.072,0.072,-1,-1,-1,0.037,0.004,0.004,0.226,0.016,0.016,18.2,3.7,3.1,3.14,0.81,0.81,690,14,14,2015ApJ...800...59V,2015ApJ...800...59V
K2-003b,3835,70,70,-0.01,0.09,0.09,0.62,0.06,0.06,0.6,0.06,0.06,4.66,0.05,0.05,2.49,0.43,0.43,10.054,0,-1,-1,0.0777,0.0024,0.0026,0.0204,0.0031,0.0029,0.204,0.021,0.021,-1,-1,-1,2.3,1,0.7,-1,-1,-1,2015ApJ...804...10C,arXiv:1812.08241
K2-003c,3835,70,70,-0.01,0.09,0.09,0.62,0.06,0.06,0.6,0.06,0.06,4.66,0.05,0.05,2.49,0.43,0.43,24.649,0,-1,-1,0.1413,0.0044,0.0047,0.0067,0.0033,0.0033,0.158,0.016,0.016,-1,-1,-1,2.3,1.4,1,-1,-1,-1,2015ApJ...804...10C,arXiv:1812.08241
K2-003d,3835,70,70,-0.01,0.09,0.09,0.62,0.06,0.06,0.6,0.06,0.06,4.66,0.05,0.05,2.49,0.43,0.43,44.571,0,-1,-1,0.2097,0.0065,0.007,0,0.0057,0,0.147,0.015,0.015,-1,-1,-1,0,1.8,0,-1,-1,-1,2015ApJ...804...10C,arXiv:1802.08320
K2-010b,5620,70,70,-0.07,0.07,0.07,0.92,0.05,0.05,0.98,0.08,0.08,4.5,0.08,0.08,0.98,0.24,0.24,19.304,0.31,0.16,0.18,-1,-1,-1,0.085,0.052,0.052,0.343,0.031,0.03,-1,-1,-1,2,1.6,1.2,-1,-1,-1,2015ApJ...809...25M,2016ApJ...820...56V
K2-018b,3503,60,60,0.12,0.16,0.16,0.495,0.004,0.004,0.469,0.01,0.01,-1,-1,-1,-1,-1,-1,32.94,0.2,0.08,0.08,0.1591,0.0004,0.0004,0.0271,0.0042,0.0042,0.242,0.006,0.006,11.5,1.9,1.9,1.8,0.3,0.3,265,5,5,2015ApJ...809...25M,arXiv:1810.04731
K2-019b,5430,60,60,0.1,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,4.63,0.07,0.07,1.23,0.33,0.33,7.919,0.2,0.03,0.03,0.0762,0.0022,0.0022,0.102,0.005,0.005,0.624,0.018,0.018,8.4,1.2,2.7,0.252,0.061,0.058,-1,-1,-1,2015A+A...582A..33A,arXiv:1910.12899
K2-019c,5430,60,60,0.1,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,4.63,0.07,0.07,1.23,0.33,0.33,11.907,0.21,0.03,0.03,0.1001,0.0029,0.0029,0.034,0.0019,0.0019,0.366,0.018,0.018,9,2.1,2.6,0.89,0.43,0.43,-1,-1,-1,2015A+A...582A..33A,arXiv:1910.12899
K2-019d,5430,60,60,0.1,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,4.63,0.07,0.07,1.23,0.33,0.33,2.509,-1,-1,-1,-1,-1,-1,0,0.031,0,0.099,0.004,0.004,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJ...827...78S,arXiv:1910.12899
K2-021b,4043,375,375,-0.11,0.13,0.13,0.64,0.11,0.11,0.6,0.1,0.1,-1,-1,-1,-1,-1,-1,9.324,-1,-1,-1,0.0731,0.0057,0.0067,-1,-1,-1,0.142,0.037,0.039,-1,-1,-1,-1,-1,-1,500,-1,-1,2015ApJ...811..102P,2015ApJ...811..102P
K2-021c,4043,375,375,-0.11,0.13,0.13,0.64,0.11,0.11,0.6,0.1,0.1,-1,-1,-1,-1,-1,-1,15.501,-1,-1,-1,0.1026,0.0079,0.0094,-1,-1,-1,0.171,0.048,0.046,-1,-1,-1,-1,-1,-1,420,-1,-1,2015ApJ...811..102P,2015ApJ...811..102P
K2-024b,5625,60,60,0.34,0.04,0.04,1.07,0.06,0.06,1.16,0.04,0.4,4.29,0.05,0.05,-1,-1,-1,20.89,0.06,0.01,0.01,0.154,0.002,0.002,0.057,0.0069,0.0066,0.482,0.018,0.018,-1,-1,-1,0.482,0.09,0.076,767,177,177,2016ApJ...818...36P,arXiv:1806.08959
K2-024c,5625,60,60,0.34,0.04,0.04,1.07,0.06,0.06,1.16,0.04,0.4,4.29,0.05,0.05,-1,-1,-1,42.339,0,0.07,0,0.247,0.004,0.004,0.0484,0.006,0.0057,0.669,0.027,0.027,-1,-1,-1,0.151,0.03,0.023,606,139,139,2016ApJ...818...36P,arXiv:1806.08959
K2-025b,3207,58,58,0.15,0.03,0.03,0.2634,0.0077,0.0077,0.2932,0.0093,0.0093,4.944,0.031,0.031,10.4,1.1,1.1,3.485,0.428,0.05,0.049,0.0287,0.0012,0.0012,0.077,0.018,0.016,0.306,0.011,0.011,-1,-1,-1,11,0.9,0.9,494,11,11,2016ApJ...818...46M,arXiv:2007.12766
K2-026b,3785,185,185,-0.13,0.15,0.15,0.56,0.1,0.1,0.52,0.08,0.08,-1,-1,-1,2.8,1,1,14.567,0,-1,-1,0.0962,0.0054,0.0061,-1,-1,-1,0.22,0.036,0.036,-1,-1,-1,-1,-1,-1,430,-1,-1,2016ApJ...818...87S,2016ApJ...822...39B
K2-027b,5248,60,60,0.13,0.04,0.04,0.866,0.029,0.023,0.885,0.043,0.043,4.48,0.05,0.05,1.45,0.27,0.27,6.771,0.251,0.088,0.088,0.06702,0.00071,0.00071,0.097,0.014,0.014,0.4,0.021,0.021,-1,-1,-1,1.41,0.31,0.31,902,28,28,2016ApJ...820...56V,2017AJ....153..142P
K2-028,3214,60,60,0.26,0.05,0.05,0.257,0.048,0.048,0.288,0.028,0.028,4.93,0.04,0.04,10.4,2.8,2.8,2.26,0,-1,-1,0.0191,0.0037,0.0029,-1,-1,-1,0.229,0.024,0.024,-1,-1,-1,-1,-1,-1,421,29,32,2016ApJ...820...41H,arXiv:1807.04420
K2-029,5358,38,38,0.16,0.03,0.03,0.94,0.02,0.02,0.86,0.01,0.01,4.549,0.012,0.012,-1,-1,-1,3.259,0.066,0.022,0.022,0.04217,0.00024,0.00024,0.73,0.04,0.04,1.19,0.02,0.02,-1,-1,-1,0.43,0.03,0.03,1171,10,10,2016ApJ...824...55S,2016ApJ...824...55S
K2-030,5582,39,39,0.137,0.031,0.031,0.984,0.02,0.02,0.941,0.038,0.038,4.484,0.039,0.039,1.18,0.15,0.15,4.099,0.026,0.038,0.02,0.04986,0.00033,0.00033,0.625,0.03,0.03,1.197,0.052,0.052,-1,-1,-1,0.363,0.055,0.055,1152,19,19,2016A+A...594A..50L,2016A+A...594A..50L
K2-031,5412,34,34,0.2,0.03,0.03,1,0.064,0.064,0.986,0.07,0.07,4.44,0.05,0.05,-1,-1,-1,1.258,0,0.029,0,0.022,0.0018,0.0018,1.856,0.081,0.081,1.06,0.35,0.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016AJ....152..132G,2016ApJ...823..115D
K2-032b,5271,39,35,-0.06,0.03,0.03,0.83,0.02,0.02,0.86,0.02,0.02,4.49,0.03,0.03,1.3,0.13,0.1,8.992,0.03,0.032,0.021,0.0795,0.00066,0.00062,0.0472,0.0057,0.0053,0.473,0.017,0.017,-1,-1,-1,0.41,0.08,0.06,837,13,14,2016ApJ...827...78S,arXiv:2006.01102
K2-032c,5271,39,35,-0.06,0.03,0.03,0.83,0.02,0.02,0.86,0.02,0.02,4.49,0.03,0.03,1.3,0.13,0.1,20.656,0.049,0.046,0.035,0.13843,0.00115,0.00108,0.0255,0.0075,0.0075,0.28,0.011,0.01,-1,-1,-1,1.08,0.36,0.34,634,9,11,2016ApJ...827...78S,arXiv:2006.01102
K2-032d,5271,39,35,-0.06,0.03,0.03,0.83,0.02,0.02,0.86,0.02,0.02,4.49,0.03,0.03,1.3,0.13,0.1,31.719,0.05,0.053,0.035,0.18422,0.00152,0.00144,0.0211,0.0079,0.0079,0.311,0.01,0.012,-1,-1,-1,0.65,0.26,0.26,550,8,9,2016ApJ...827...78S,arXiv:2006.01102
K2-032e,5271,39,35,-0.06,0.03,0.03,0.83,0.02,0.02,0.86,0.02,0.02,4.49,0.03,0.03,1.3,0.13,0.1,4.349,0.043,0.048,0.03,0.04899,0.00041,0.00038,0.0066,0.0041,0.0034,0.1081,0.0046,0.0041,-1,-1,-1,4.7,3.1,2.6,1066,16,18,arXiv:1904.00651,arXiv:2006.01102
K2-033,3540,70,70,-1,-1,-1,0.56,0.09,0.09,1.05,0.07,0.07,-1,-1,-1,0.51,0.04,0.07,5.425,0,-1,-1,-1,-1,-1,0,3.7,0,0.446,0.03,0.033,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016AJ....152...61M,2016AJ....152...61M
K2-034,6131,47,47,0.121,0.053,0.053,1.204,0.031,0.031,1.383,0.046,0.046,4.236,0.025,0.025,0.356,0.044,0.044,3,0,-1,-1,0.04328,0.00037,0.00037,1.649,0.098,0.098,1.217,0.053,0.053,-1,-1,-1,0.92,0.14,0.14,1670,26,26,2016A+A...594A..50L,2016A+A...594A..50L
K2-036b,4916,35,37,-0.09,0.06,0.04,0.79,0.01,0.01,0.718,0.008,0.006,4.621,0.005,0.004,2.12,0.04,0.04,1.423,0,-1,-1,0.0223,0.0004,0.0004,0.0123,0.0035,0.0035,0.128,0.007,0.007,-1,-1,-1,5.4,1.9,1.6,1224,13,13,2016ApJ...827...78S,arXiv:1902.01881
K2-036c,4916,35,37,-0.09,0.06,0.04,0.79,0.01,0.01,0.718,0.008,0.006,4.621,0.005,0.004,2.12,0.04,0.04,5.341,0,-1,-1,0.054,0.001,0.001,0.0245,0.0072,0.0072,0.285,0.027,0.027,-1,-1,-1,1,0.5,0.4,788,9,9,2016ApJ...827...78S,arXiv:1902.01881
K2-038b,5757,60,60,0.28,0.04,0.04,1.03,0.04,0.02,1.06,0.09,0.06,4.38,0.11,0.11,-1,-1,-1,4.016,0.197,0.061,0.06,0.04994,0.00048,0.00049,0.023,0.0035,0.0031,0.137,0.012,0.012,-1,-1,-1,8.3,3.1,2.1,1266,44,50,2016ApJ...827...78S,arXiv:2007.01081
K2-038c,5757,60,60,0.28,0.04,0.04,1.03,0.04,0.02,1.06,0.09,0.06,4.38,0.11,0.11,-1,-1,-1,10.561,0.161,0.096,0.068,0.09514,0.00091,0.00094,0.0261,0.0041,0.0041,0.204,0.023,0.023,-1,-1,-1,2.9,1.4,0.8,916,32,37,2016ApJ...827...78S,arXiv:2007.01081
K2-039,4912,60,60,0.43,0.04,0.04,1.192,0.085,0.07,2.93,0.21,0.21,3.58,0.05,0.05,-1,-1,-1,4.605,0.152,0.084,0.066,0.0574,0.0012,0.0012,0.125,0.014,0.014,0.509,0.056,0.056,-1,-1,-1,0.88,0.35,0.24,1670,54,54,2016AJ....152..143V,2017AJ....153..142P
K2-043b,3841,99,50,-1,-1,-1,0.571,0.111,0.055,0.542,0.049,0.022,-1,-1,-1,-1,-1,-1,3.471,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.402,0.039,0.017,-1,-1,-1,-1,-1,-1,939,38,19,2016ApJS..226....7C,2019ApJ...880L...5H
K2-043c,3841,99,50,-1,-1,-1,0.571,0.111,0.055,0.542,0.049,0.022,-1,-1,-1,-1,-1,-1,2.199,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.215,0.023,0.01,-1,-1,-1,-1,-1,-1,1094,44,22,2019ApJ...880L...5H,2019ApJ...880L...5H
K2-055,4300,107,100,0.376,0.095,0.095,0.688,0.069,0.069,0.715,0.043,0.04,4.566,0.036,0.036,-1,-1,-1,2.849,0.124,0.054,0.055,0.0347,0.001,0.001,0.138,0.017,0.017,0.395,0.026,0.026,-1,-1,-1,2.1,0.5,0.5,900,-1,-1,2016ApJS..226....7C,arXiv:1804.05148
K2-056,5766,99,99,-0.15,0.05,0.05,0.961,0.032,0.029,0.928,0.055,0.044,4.5,0.08,0.08,1.2,0.14,0.18,41.686,0,0.36,0,0.241,0.019,0.017,0.051,0.019,0.019,0.199,0.013,0.01,32,12,12,5.9,2.6,2.3,546,19,18,arXiv:1601.07608,arXiv:1601.07608
K2-060,5500,100,100,0.01,0.11,0.11,0.97,0.07,0.07,1.12,0.05,0.05,4.33,0.04,0.04,0.7,0.04,0.04,3.003,0,0.18,0,0.045,0.003,0.003,0.426,0.037,0.037,0.683,0.037,0.037,22.4,3.3,2..9,1.3,0.2,0.2,1400,50,50,2017AJ....153..130E,2017AJ....153..130E
K2-066,5887,46,46,-0.047,0.02,0.02,1.01,0.04,0.04,1.67,0.12,0.12,4.03,0.05,0.05,0.26,0.1,0.16,5.07,0,-1,-1,0.05983,0.00072,0.00072,0.067,0.011,0.011,0.222,0.03,0.021,-1,-1,-1,5.9,2,2,1372,51,51,2016ApJS..226....7C,2017AJ....153..271S
K2-079,5926,86,86,-1,-1,-1,1.06,0.04,0.04,1.28,0.12,0.12,4.249,0.073,0.073,-1,-1,-1,10.996,-1,-1,-1,0.099,0.001,0.001,-1,-1,-1,0.329,0.035,0.035,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,arXiv:2108.08889
K2-093b,6320,60,30,-0.1,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,15.571,0.07,0.06,0.06,0.1283,0.0015,0.0015,0.0217,0.0028,0.0028,0.2315,0.0032,0.0032,-1,-1,-1,1.64,0.21,0.21,959,9,5,2016ApJ...827L..10V,arXiv:1911.07355
K2-093c,6320,60,30,-0.1,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,31.698,0.04,0.04,0.03,0.2061,0.0024,0.0024,0.0138,0.0035,0.0035,0.2433,0.0054,0.0054,-1,-1,-1,0.9,0.23,0.23,757,7,4,2016ApJ...827L..10V,arXiv:1911.07355
K2-093f,6320,60,30,-0.1,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,542.08,0.004,0.009,0.003,0.22,0.03,0.06,0.038,0.009,0.009,0.821,0.009,0.009,-1,-1,-1,0.07,0.02,0.02,294,3,1,2016ApJ...827L..10V,arXiv:1911.07355
K2-095,3471,124,124,0.11,0.17,0.17,0.361,0.069,0.069,0.402,0.05,0.05,-1,-1,-1,5.5,1.3,1.3,10.134,-1,-1,-1,0.0653,0.0039,0.0045,-1,-1,-1,0.31,0.07,0.047,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016AJ....152..223O,2016AJ....152..223O
K2-097,4790,90,90,0.42,0.08,0.08,1.16,0.12,0.12,4.2,0.14,0.14,3.26,0.01,0.01,0.0157,0.0003,0.0003,8.406,0.22,0.08,0.08,-1,-1,-1,0.48,0.07,0.07,1.31,0.11,0.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016AJ....152..185G,2017AJ....154..254G
K2-098,6120,80,80,-0.2,0.1,0.1,1.074,0.042,0.042,1.311,0.083,0.048,4.23,0.03,0.05,0.47,0.05,0.09,10.137,0,-1,-1,0.0943,0.0061,0.0052,0.101,0.025,0.025,0.38,0.03,0.02,-1,-1,-1,1.62,0.51,0.45,1102,26,20,2016AJ....152..193B,2016AJ....152..193B
K2-099,5990,40,40,0.2,0.05,0.05,1.6,0.14,0.1,3.1,0.1,0.1,3.67,0.04,0.04,0.055,0.002,0.002,18.249,0.19,0.04,0.04,0.159,0.006,0.006,0.97,0.09,0.09,1.29,0.05,0.05,15.8,4.1,3.3,-1,-1,-1,-1,-1,-1,2017MNRAS.464.2708S,2017MNRAS.464.2708S
K2-100,5945,110,110,0.22,0.09,0.09,1.15,0.05,0.05,1.24,0.05,0.05,4.33,0.1,0.1,0.6,0.08,0.08,1.674,0,0.28,-1,0.0301,0.0014,0.0014,0.069,0.02,0.02,0.346,0.014,0.014,15.4,4.4,4.4,1.54,0.5,0.46,1841,41,41,2017AJ....153...64M,arXiv:1909.05252
K2-101,4819,45,45,0.14,0.04,0.04,0.8,0.06,0.06,0.73,0.03,0.03,-1,-1,-1,2.07,0.29,0.25,14.677,0,-1,-1,-1,-1,-1,-1,-1,-1,0.18,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017AJ....153...64M,2017AJ....153...64M
K2-102,4695,50,50,0.14,0.04,0.04,0.77,0.06,0.06,0.71,0.03,0.03,-1,-1,-1,2.14,0.31,0.27,9.916,0,-1,-1,-1,-1,-1,-1,-1,-1,0.12,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017AJ....153...64M,2017AJ....153...64M
K2-103,3880,67,67,0.14,0.04,0.04,0.61,0.02,0.02,0.59,0.03,0.03,-1,-1,-1,2.98,0.43,0.38,21.17,0,-1,-1,-1,-1,-1,-1,-1,-1,0.2,0.02,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017AJ....153...64M,2017AJ....153...64M
K2-104,3660,67,67,0.14,0.04,0.04,0.51,0.02,0.02,0.48,0.02,0.02,-1,-1,-1,4.64,0.68,0.6,1.974,0,-1,-1,-1,-1,-1,-1,-1,-1,0.17,0.02,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017AJ....153...64M,2017AJ....153...64M
K2-105,5430,70,70,0.26,0.05,0.05,1.01,0.07,0.07,0.95,0.11,0.1,4.477,0.085,0.085,1.19,0.44,0.32,8.267,-1,-1,-1,-1,-1,-1,0,0.28,0,0.369,0.039,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017PASJ...69...29N,2017PASJ...69...29N
K2-106b,5496,46,46,0.06,0.03,0.03,0.902,0.057,0.046,0.981,0.019,0.018,4.42,0.05,0.05,0.956,0.099,0.085,0.572,0,-1,-1,0.01342,0.00014,0.00014,0.0243,0.0025,0.0025,0.1527,0.0061,0.0061,26.9,3.6,3.9,6.4,1.4,1.4,2242,63,46,2017AJ....153...82A,arXiv:1908.06299
K2-106c,5496,46,46,0.06,0.03,0.03,0.902,0.057,0.046,0.981,0.019,0.018,4.42,0.05,0.05,0.956,0.099,0.085,13.341,0,-1,-1,0.1071,0.0015,0.0015,0.0214,0.0072,0.0072,0.231,0.025,0.025,10.4,4,3.7,1.8,1.2,0.8,771,31,23,2017AJ....153...82A,arXiv:1705.04163
K2-107,6030,120,120,0.1,0.1,0.1,1.3,0.14,0.14,1.78,0.16,0.16,4.05,0.07,0.07,0.23,0.04,0.04,3.314,0,0.21,0,0.048,0.005,0.005,0.84,0.08,0.08,1.44,0.15,0.15,10,1.7,1.5,0.26,0.08,0.08,1780,90,90,2017AJ....153..130E,2017AJ....153..130E
K2-108,5474,60,60,0.33,0.04,0.04,1.121,0.065,0.053,1.75,0.14,0.14,3.99,0.05,0.05,-1,-1,-1,4.734,0.18,0.042,0.042,0.0573,0.001,0.001,0.187,0.014,0.014,0.471,0.048,0.048,-1,-1,-1,1.67,0.58,0.41,1446,48,48,2017AJ....153..142P,2017AJ....153..142P
K2-110,5010,50,50,-0.34,0.03,0.03,0.738,0.018,0.018,0.713,0.02,0.02,4.6,0.03,0.03,-1,-1,-1,13.864,0.079,0.07,0.07,0.1021,0.0008,0.0008,0.0525,0.0101,0.0101,0.231,0.009,0.009,-1,-1,-1,3.9,0.9,0.9,640,20,20,2017A+A...604A..19O,2017A+A...604A..19O
K2-111,5775,60,60,-0.46,0.05,0.05,0.84,0.02,0.02,1.25,0.02,0.02,4.17,0.01,0.01,0.43,0.02,0.02,5.351,0.13,0.13,0.09,0.057,0.0012,0.0012,0.0166,0.0024,0.0024,0.162,0.009,0.09,-1,-1,-1,3.6,0.8,0.8,1309,71,63,2017A+A...604A..16F,arXiv:2010.01993
K2-113,5627,88,88,0.18,0.062,0.062,1.007,0.04,0.039,1.047,0.11,0.08,4.4,0.15,0.15,0.87,0.26,0.23,5.818,0,0.13,0,0.0575,0.0074,0.0057,1.29,0.13,0.14,0.93,0.1,0.07,36.3,7.3,7.5,1.48,0.46,0.4,1178,22,23,2017MNRAS.471.4374E,2017MNRAS.471.4374E
K2-131,5200,100,100,-0.02,0.08,0.08,0.793,0.024,0.04,0.744,0.01,0.009,4.62,0.1,0.1,1.92,0.1,0.13,0.369,0,0.26,0,-1,-1,-1,0.0198,0.0044,0.0044,0.1473,0.0058,0.005,-1,-1,-1,5.8,2,2,-1,-1,-1,2017AJ....154..226D,arXiv:1908.06299
